Titel;Duration;Band;Album;Genre;Year;Comment
Always Mine;03:24;Thomas Bergersen;Sun;Soundtrack;2014;Mr. Metal +
Before Time;02:20;Thomas Bergersen;Sun;Soundtrack;2014;Mr. Metal
Cassandra;03:08;Thomas Bergersen;Sun;Soundtrack;2014;Mr. Metal +
Colors of Love;06:32;Thomas Bergersen;Sun;Soundtrack;2014;Mr. Metal
Creation of Earth;05:48;Thomas Bergersen;Sun;Soundtrack;2014;Mr. Metal
An der schoenen blauen Donau, Op.314;09:59;Berliner Philharmoniker;Epic Soundtracks;Soundtrack;2015;Mr. Metal
Keine Toleranz;04:29;Berliner Weisse;In Toifels Kueche;Oi!;2009;Mr. Metal +
Manche Wunden;04:24;Berliner Weisse;In Toifels Kueche;Oi!;2009;Mr. Metal +
Stadt Ohne Licht;03:38;Betontod;Glaubeliebehoffnung;Punk Rock;2010;Mr. Metal +
All Die Jahre;02:25;Betontod;Schwarzes Blut;Punk Rock;2006;Mr. Metal
Schwarzes Blut;02:32;Betontod;Schwarzes Blut;Punk Rock;2006;Mr. Metal +
Viva Punk!;03:23;Betontod;Schwarzes Blut;Punk Rock;2006;Mr. Metal +
Berserker;03:55;Bifroest;Heidenmetal;Pagan Metal;2010;Mr. Metal +
Der Moench;03:34;Bifroest;Heidenmetal;Pagan Metal;2010;Mr. Metal +
